,Company,PriceRs.,Day HighRs.
0,Power Finance Corp,519.85,524.35
1,Amara Raja Energy,1242.35,1278.00
2,Brigade Enterprises,1264.75,1331.45
3,Paras Defence &Space,942.00,944.95
4,Divi''s Lab,4394.35,4430.00
5,RattanIndia Power,17.40,17.40
6,Thermax,5400.00,5569.00
7,Capacite Infraproj.,324.85,333.00
8,ITD Cementation,405.00,418.50
9,Grindwell Norton,2545.00,2570.00
10,JSW Infrastructure,292.20,293.10
11,Glaxosmithkline Phar,2531.20,2567.00
12,Refractory Shapes,140.70,140.70
13,Ashima,34.10,35.60
14,Jyoti CNC Automation,943.20,973.40
